SimuID,MCC,MCCDescription,Product,SBG_HVC,AppVantageScr,AppPublicRecords,AppCollections,AppAmountPastDue,AccountOpenDate
230006,7011,"Lodging - Hotels, Motels, Resorts, Central Reservation Services not elsewhere classified",QBMS for QBO,0,961,0,0,0,3/5/2018
230008,5977,Cosmetic Stores,QBMS for QBO,1,917,0,0,0,3/23/2016
230013,5815,"Digital Goods-Media: Books, Movies, Music",QBMS for QBO,0,596,0,0,2063,6/20/2017
230016,8999,Professional Services not elsewhere classified,QBMS for QBO,1,864,0,0,0,9/28/2016
230017,7372,"Computer Programming, Integrated Systems Design, and Data Processing Services",QBMS for QBO,0,812,0,0,0,12/3/2017
230019,1520,General Contractors/ Residential and Commercial,QBMS for QBO,0,719,0,0,0,1/9/2017
230021,2741,Miscellaneous Publishing and Printing,QBMS for QBO,0,571,0,3,587,5/16/2018
230023,4816,Computer Network/Information Services,QBMS for QBO,0,696,0,0,2557,3/24/2017
230025,7623,Air Conditioning and Refrigeration Repair Shops,QBMS for QBO,0,778,0,0,0,4/30/2017
230028,780,Horticultural and Landscape Services,QBMS for QBO,0,904,0,0,0,4/30/2018
230033,5399,Miscellaneous General Merchandise Stores,QBMS for QBO,0,830,0,0,0,7/23/2018
230034,780,Horticultural and Landscape Services,QBMS for QBO,0,637,0,2,3076,3/29/2017
230036,5111,"Stationery, Office Supplies, Printing and Writing Paper",QBMS for QBO,0,750,0,0,0,4/6/2016
230040,6513,Real Estate Agents and Managers - Rentals,QBMS for QBO,1,943,0,0,0,4/28/2017
230043,1520,General Contractors/ Residential and Commercial,QBMS for QBO,0,888,0,0,0,10/14/2017
230047,780,Horticultural and Landscape Services,QBMS for QBO,1,951,0,0,0,10/19/2015
230052,6300,"Insurance Sales and Underwriting, and Premiums",QBMS for QBO,0,880,0,2,2719,7/22/2017
230054,7299,Other Services not elsewhere classified,QBMS for QBO,0,885,0,0,0,2/6/2017
230057,7210,"Laundry, Cleaning, and Garment Services",QBMS for QBO,0,523,0,8,7591,5/6/2018
230059,7996,"Amusement Parks, Circuses, Carnivals, Fortune Tellers",QBMS for QBO,0,907,0,0,0,4/10/2017
230066,8351,Child Care Services,QBMS for QBO,0,698,0,0,0,1/4/2018
230070,7299,Other Services not elsewhere classified,QBMS for QBO,0,651,0,0,0,5/2/2017
230080,8999,Professional Services not elsewhere classified,QBMS for QBO,0,760,0,0,0,6/24/2017
230081,8099,Medical Services and Health Practitioners not elsewhere classified,QBMS for QBO,1,726,NA,0,NA,4/25/2017
230091,7399,Business Services not elsewhere classified,QBMS for QBO,0,750,0,0,0,4/27/2016
230092,7299,Other Services not elsewhere classified,QBMS for QBO,0,652,0,0,0,7/10/2018
230096,6513,Real Estate Agents and Managers - Rentals,QBMS for QBO,0,970,0,0,0,7/23/2018
230097,7299,Other Services not elsewhere classified,QBMS for QBO,0,835,0,0,0,9/30/2017
230098,1520,General Contractors/ Residential and Commercial,QBMS for QBO,0,775,1,0,0,3/20/2018
230105,1761,"Roofing and Siding, Sheet Metal Work Contractors",QBMS for QBO,1,714,0,0,0,4/10/2017
230107,7349,"Cleaning and Maintenance, Janitorial Services",QBMS for QBO,0,741,0,2,0,9/8/2016
230108,5039,Construction Materials not elsewhere classified,QBMS for QBO,0,579,0,3,8931,2/7/2015
230109,8999,Professional Services not elsewhere classified,QBMS for QBO,0,742,0,0,0,10/25/2017
230116,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,1,826,0,0,0,12/11/2014
230117,1799,"Contractors, Special Trade not elsewhere classified",QBMS for QBO,0,803,0,0,0,6/2/2018
230119,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,0,781,0,0,0,2/23/2018
230121,8099,Medical Services and Health Practitioners not elsewhere classified,QBMS for QBO,0,928,0,0,0,7/22/2017
230122,7333,"Commercial Photography, Art, and Graphics",QBMS for QBO,0,895,0,0,0,9/20/2017
230127,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,0,883,0,0,0,1/23/2018
230131,6513,Real Estate Agents and Managers - Rentals,QBMS for QBO,0,797,0,0,0,6/5/2015
230132,8999,Professional Services not elsewhere classified,QBMS for QBO,0,925,0,0,0,7/17/2017
230133,5039,Construction Materials not elsewhere classified,QBMS for QBO,1,556,1,9,2195,10/13/2015
230134,5971,Art Dealers and Galleries,QBMS for QBO,1,721,0,0,0,4/13/2015
230139,8999,Professional Services not elsewhere classified,QBMS for QBO,0,689,0,0,0,8/15/2015
230142,8699,Membership Organizations not elsewhere classified,GoPayment Free,1,862,0,0,0,6/15/2016
230144,8299,Schools and Educational Services not elsewhere classified,QBMS for QBO,0,632,0,0,0,6/12/2018
230145,5699,Miscellaneous Apparel and Accessory Stores,QBMS for QBO,1,832,0,0,0,3/7/2015
230146,5999,Miscellaneous and Specialty Retail Stores,QBMS for QBO,0,617,0,1,0,6/26/2015
230149,8111,"Legal Services, Attorneys",QBMS for QBO,0,696,0,0,0,12/28/2017
230153,8999,Professional Services not elsewhere classified,QBMS for QBO,0,842,0,0,0,1/4/2018
230154,780,Horticultural and Landscape Services,QBMS for QBO,0,836,0,0,0,6/10/2015
230164,4225,"Public Warehousing - Farm Products, Refrigerated Goods, Household Goods Storage",QBMS for QBO,0,946,0,0,0,8/12/2017
230165,7392,"Management, Consulting, and Public Relations Services",QBMS for QBO,0,743,0,2,0,3/8/2018
230166,5621,Women's Ready to Wear Stores,QBMS for QBO,0,846,0,0,0,5/21/2018
230168,8299,Schools and Educational Services not elsewhere classified,QBMS for QBO,0,624,0,2,0,3/17/2015
230173,7311,Advertising Services,QBMS for QBO,1,990,0,0,0,7/28/2015
230175,7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, Sports Promoters",QBMS for QBO,1,907,0,2,0,4/24/2015
230179,7299,Other Services not elsewhere classified,QBMS for QBO,0,861,0,1,0,2/24/2017
230180,8041,Chiropractors,QBMS for QBO,0,931,0,0,0,2/27/2018
230181,7999,Recreation Services not elsewhere classified,QBMS for QBO,0,802,0,0,0,6/25/2018
230182,7399,Business Services not elsewhere classified,QBMS for QBO,0,661,0,2,826,6/27/2018
230183,8011,Doctors not elsewhere classified,QBMS for QBO,0,829,0,0,0,6/5/2017
230185,7699,Miscellaneous Repair Shops and Related Services,QBMS for QBO,0,655,0,0,0,5/5/2017
230189,1520,General Contractors/ Residential and Commercial,QBMS for QBO,1,719,1,0,61,4/21/2017
230192,8931,"Accounting, Auditing, and Bookkeeping Services",QBMS for QBO,0,566,0,1,12947,3/12/2018
230193,5811,Caterers,QBMS for QBO,0,829,0,0,0,6/27/2018
230194,5399,Miscellaneous General Merchandise Stores,QBMS for QBO,0,664,0,0,0,5/18/2018
230195,7299,Other Services not elsewhere classified,QBMS for QBO,0,770,0,0,0,7/26/2017
